size threshold time cores iterations
100000 100 23.9238 1 10
100000 1100 23.975023 1 10
100000 2100 23.57249 1 10
100000 3100 21.26775 1 10
100000 4100 19.702784 1 10
100000 5100 23.194546 1 10
100000 6100 22.402409 1 10
100000 7100 27.660645 1 10
100000 8100 23.732763 1 10
100000 9100 22.454723 1 10
100000 10100 27.000769 1 10
