size threshold time cores iterations
100000 100 24.227016 4 10
100000 1100 13.397906 4 10
100000 2100 9.728126 4 10
100000 3100 20.631033 4 10
100000 4100 14.029635 4 10
100000 5100 11.699369 4 10
100000 6100 10.800167 4 10
100000 7100 11.868309 4 10
100000 8100 14.92935 4 10
100000 9100 10.697941 4 10
