size threshold time cores iterations
100000 100 26.290735 1 10
100000 1100 31.00351 1 10
100000 2100 19.777914 1 10
100000 3100 18.24021 1 10
100000 4100 16.301296 1 10
100000 5100 15.477328 1 10
100000 6100 13.850637 1 10
100000 7100 14.850422 1 10
100000 8100 15.522693 1 10
100000 9100 13.450354 1 10
